Date,SPY,QQQ,IWM,EFA,EEM,XLK,XLF,XLE,XLV,XLU,TLT,IEF,LQD,HYG,GLD,DBC,VNQ
2015-01-16,166.54901123046875,92.61370849609375,100.6203842163086,43.248016357421875,30.758909225463867,17.673208236694336,15.404784202575684,23.99370574951172,58.24757385253906,16.814594268798828,96.93123626708984,84.28199005126953,81.17407989501953,48.55497360229492,122.5199966430664,14.837430000305176,55.33452606201172
2015-01-20,166.9042205810547,93.34859466552734,100.19789123535156,43.39741516113281,30.7121639251709,17.8220157623291,15.339202880859375,24.022415161132812,58.24757385253906,16.85610008239746,98.21942138671875,84.47517395019531,81.36125946044922,48.46824645996094,124.19999694824219,14.63452434539795,54.897396087646484
2015-01-21,167.74671936035156,93.8262710571289,99.87889099121094,43.73891067504883,31.389816284179688,17.85265350341797,15.378551483154297,24.5103759765625,58.36344528198242,17.018640518188477,97.08407592773438,84.07333374023438,81.32787322998047,48.728416442871094,124.2300033569336,14.727523803710938,54.8593635559082
2015-01-22,170.24134826660156,95.56243896484375,101.9137191772461,43.90253448486328,31.989564895629883,18.145896911621094,15.758920669555664,24.62519073486328,59.05873489379883,16.946012496948242,96.73474884033203,83.86474609375,81.2877197265625,48.793487548828125,125.2300033569336,14.710611343383789,55.83503723144531
2015-01-23,169.3079071044922,95.7737045288086,101.84473419189453,43.653533935546875,31.74810791015625,18.14152717590332,15.588410377502441,24.449783325195312,58.719390869140625,16.99443244934082,98.08114624023438,84.41334533691406,81.7624282836914,48.793487548828125,124.2300033569336,14.617615699768066,55.67665481567383
2015-01-26,169.70436096191406,95.66346740722656,102.8276596069336,44.25113296508789,31.763687133789062,18.067110061645508,15.667110443115234,24.800621032714844,59.02564239501953,16.984052658081055,97.7828369140625,84.2201919555664,81.742431640625,49.015743255615234,122.98999786376953,14.566889762878418,56.145477294921875
2015-01-27,167.46588134765625,93.18324279785156,102.33621978759766,44.315162658691406,31.592327117919922,17.546289443969727,15.496596336364746,24.78466796875,58.603477478027344,17.00826644897461,97.93557739257812,84.33612823486328,81.80257415771484,48.977806091308594,124.4000015258789,14.642979621887207,56.164493560791016
2015-01-28,165.31822204589844,92.70555114746094,100.61177062988281,43.653533935546875,31.249608993530273,17.51564598083496,15.214600563049316,23.808717727661133,57.75920486450195,16.863012313842773,99.53669738769531,84.98517608642578,82.35755157470703,48.87480163574219,123.41999816894531,14.431620597839355,55.79069900512695
2015-01-29,166.8463592529297,93.59661102294922,101.99992370605469,44.25113296508789,31.249608993530273,17.681961059570312,15.339202880859375,23.888452529907227,58.24757385253906,17.087800979614258,98.88172912597656,84.68383026123047,82.16368103027344,49.0482292175293,120.76000213623047,14.363983154296875,55.98710250854492
2015-01-30,164.74827575683594,92.87091064453125,99.75818634033203,43.55393981933594,30.3928165435791,17.4631290435791,15.089999198913574,24.095767974853516,57.33704376220703,16.710844039916992,100.63558197021484,85.4256362915039,82.83897399902344,48.91273498535156,123.44999694824219,14.710611343383789,54.83403396606445
2015-02-02,166.78855895996094,93.67927551269531,100.67210388183594,44.08040237426758,30.938053131103516,17.64257049560547,15.332642555236816,24.83250617980957,57.659873962402344,16.783472061157227,100.25564575195312,85.31881713867188,82.91608428955078,49.10049057006836,122.41999816894531,14.913519859313965,54.68832015991211
