Date,SPY,IWM,EZU,EWU,SHY,IEI,IEF,TLT,BWX,EEM,GLD
2015-01-14,165.91302490234375,100.7066421508789,26.082778930664062,22.35780906677246,68.93001556396484,99.82679748535156,84.47215270996094,97.04214477539062,24.42793846130371,30.431764602661133,117.97000122070312
2015-01-15,164.3931121826172,99.00804901123047,26.01658058166504,22.486230850219727,69.03569030761719,100.38099670410156,85.19326782226562,98.56922149658203,24.41913414001465,30.501861572265625,120.94000244140625
2015-01-16,166.54898071289062,100.6203842163086,26.52411460876465,22.84580421447754,68.97065734863281,99.93118286132812,84.56523895263672,97.31253814697266,24.339862823486328,30.7589054107666,122.5199966430664
2015-01-20,166.90419006347656,100.19790649414062,26.744779586791992,23.0512752532959,68.93815612792969,99.95526123046875,84.7590560913086,98.60572814941406,24.18132209777832,30.7121639251709,124.19999694824219
2015-01-21,167.7467498779297,99.87885284423828,27.009586334228516,23.282424926757812,68.93815612792969,99.73041534423828,84.3558578491211,97.4659194946289,24.229766845703125,31.389806747436523,124.2300033569336
2015-01-22,170.24127197265625,101.91366577148438,27.112550735473633,23.487897872924805,68.91378021240234,99.58580780029297,84.14654541015625,97.11524200439453,23.965543746948242,31.989566802978516,125.2300033569336
2015-01-23,169.30792236328125,101.8447494506836,26.88453483581543,23.372323989868164,68.94632720947266,99.88299560546875,84.6970443725586,98.46688079833984,23.94792938232422,31.748106002807617,124.2300033569336
2015-01-26,169.70437622070312,102.82767486572266,27.436201095581055,23.719058990478516,68.90567779541016,99.73041534423828,84.5031967163086,98.16734313964844,23.925905227661133,31.763683319091797,122.98999786376953
2015-01-27,167.46585083007812,102.33618927001953,27.35528564453125,23.73189926147461,68.94632720947266,99.82679748535156,84.61946105957031,98.3208236694336,24.040401458740234,31.592329025268555,124.4000015258789
2015-01-28,165.3182373046875,100.61178588867188,26.730058670043945,23.436532974243164,68.99508666992188,100.18824005126953,85.27076721191406,99.9281997680664,23.969934463500977,31.249605178833008,123.41999816894531
2015-01-29,166.8463592529297,101.99992370605469,27.45826530456543,23.59063720703125,68.97065734863281,100.04363250732422,84.96839904785156,99.27066040039062,23.877471923828125,31.249605178833008,120.76000213623047
2015-01-30,164.748291015625,99.75816345214844,26.98015594482422,23.16684341430664,69.05193328857422,100.51754760742188,85.71269226074219,101.03145599365234,23.983158111572266,30.392818450927734,123.44999694824219
2015-02-02,166.78855895996094,100.6720962524414,27.311159133911133,23.372323989868164,69.02998352050781,100.46287536621094,85.60554504394531,100.6500015258789,24.049219131469727,30.93804359436035,122.41999816894531
2015-02-03,169.20046997070312,102.47412872314453,28.03200340270996,23.950206756591797,68.9731216430664,100.0527572631836,84.88330078125,98.51959228515625,24.176925659179688,31.5222225189209,121.05000305175781
2015-02-04,168.55618286132812,102.09477996826172,27.45826530456543,23.73189926147461,68.98116302490234,100.10906982421875,85.02306365966797,98.68797302246094,24.062429428100586,31.366443634033203,121.58000183105469
2015-02-05,170.25778198242188,103.4139633178711,27.93637466430664,24.091466903686523,68.95679473876953,99.97228240966797,84.71241760253906,97.60447692871094,24.190143585205078,31.553390502929688,121.79000091552734
2015-02-06,169.78692626953125,103.30188751220703,27.303802490234375,23.83462905883789,68.79427337646484,99.18427276611328,83.76496887207031,95.8766860961914,23.864246368408203,31.015933990478516,118.63999938964844
2015-02-09,169.02706909179688,102.4827651977539,27.075782775878906,23.770418167114258,68.78612518310547,99.13599395751953,83.72614288330078,95.72294616699219,23.829025268554688,30.969202041625977,119.16999816894531
